Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),Literacy (%),Phones (per 1000),Arable (%),Crops (%),Other (%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,GDP ($ per capita)
Afghanistan ,ASIA,31056997,647500,48,0,23.06,163.07,36,3.2,12.13,0.22,87.65,1,46.6,20.34,0.38,0.24,0.38,700
Albania ,EUROPE,3581655,28748,124.6,1.26,-4.93,21.52,86.5,71.2,21.09,4.42,74.49,3,15.11,5.22,232,188,579,4500
Algeria ,AFRICA,32930091,2381740,13.8,0.04,-0.39,31,70,78.1,3.22,0.25,96.53,1,17.14,4.61,101,0.6,298,6000
American Samoa ,OCEANIA,57794,199,290.4,58.29,-20.71,9.27,97,259.5,10,15,75,2,22.46,3.27,,,,8000
Andorra ,EUROPE,71201,468,152.1,0,6.6,4.05,100,497.2,2.22,0,97.78,3,8.71,6.25,,,,19000
Angola ,AFRICA,12127071,1246700,9.7,0.13,0,191.19,42,7.8,2.41,0.24,97.35,,45.11,24.2,96,658,246,1900
Anguilla ,AMERICA,13477,102,132.1,59.8,10.76,21.03,95,460,0,0,100,2,14.17,5.34,0.04,0.18,0.78,8600
Antigua & Barbuda ,AMERICA,69108,443,156,34.54,-6.15,19.46,89,549.9,18.18,4.55,77.27,2,16.93,5.37,38,0.22,743,11000
Argentina ,AMERICA,39921833,2766890,14.4,0.18,0.61,15.18,97.1,220.4,12.31,0.48,87.21,3,16.73,7.55,95,358,547,11200
Armenia ,EUROPE,2976372,29800,99.9,0,-6.47,23.28,98.6,195.7,17.55,2.3,80.15,4,12.07,8.23,239,343,418,3500
Aruba ,AMERICA,71891,193,372.5,35.49,0,5.89,97,516.1,10.53,0,89.47,2,11.03,6.68,4,333,663,28000
Australia ,OCEANIA,20264082,7686850,2.6,0.34,3.98,4.69,100,565.5,6.55,0.04,93.41,1,12.14,7.51,38,262,0.7,29000
Austria ,EUROPE,8192880,83870,97.7,0,2,4.66,98,452.2,16.91,0.86,82.23,3,8.74,9.76,18,304,678,30000
Azerbaijan ,EUROPE,7961619,86600,91.9,0,-4.9,81.74,97,137.1,19.63,2.71,77.66,1,20.74,9.75,141,457,402,3400
Bahamas. The ,AMERICA,303770,13940,21.8,25.41,-2.2,25.21,95.6,460.6,0.8,0.4,98.8,2,17.57,9.05,0.03,0.07,0.9,16700
Bahrain ,ASIA,698585,665,1050.5,24.21,1.05,17.27,89.1,281.3,2.82,5.63,91.55,1,17.8,4.14,5,387,608,16900
